"timestamp","source_path","destination_path","review_type","confidence","action_taken","notes"
"2026-04-03T22:06:37.1041020-04:00","C:\Users\riley\Downloads\Co-op Resume.pdf","C:\Users\riley\Drive-Staging\Archive\05_Duplicate_Review\Co-op Resume__from_Downloads__exact_duplicate.pdf","duplicate_review","high-after-hash","moved_to_review","Exact SHA256 duplicate of C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Co-op Resume.pdf"
"2026-04-03T22:06:37.1096335-04:00","C:\Users\riley\Pictures\Screenshots\Assignment 3 Screenshot.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Assignment 3 Screenshot.png","screenshot_review","high","moved_to_review","Named screenshot with clear school/course/co-op context"
"2026-04-03T22:06:37.1116236-04:00","C:\Users\riley\Pictures\Screenshots\Data Maniupulation GUI.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Data Maniupulation GUI.png","screenshot_review","high","moved_to_review","Named screenshot with clear school/course/co-op context"
"2026-04-03T22:06:37.1141604-04:00","C:\Users\riley\Pictures\Screenshots\Group Project GUI.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Group Project GUI.png","screenshot_review","high","moved_to_review","Named screenshot with clear school/course/co-op context"
"2026-04-03T22:06:37.1161555-04:00","C:\Users\riley\Pictures\Screenshots\Posting.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Posting.png","screenshot_review","high","moved_to_review","Named screenshot with clear school/course/co-op context"
"2026-04-03T22:06:37.1191560-04:00","C:\Users\riley\Pictures\Screenshots\rubric22.pdf","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\rubric22.pdf","screenshot_review","high","moved_to_review","Named screenshot with clear school/course/co-op context"
"2026-04-03T22:06:37.1211557-04:00","C:\Users\riley\Pictures\Screenshots\StressStrainCurveMidterm.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\StressStrainCurveMidterm.png","screenshot_review","high","moved_to_review","Named screenshot with clear school/course/co-op context"
"2026-04-03T22:06:37.1835934-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 185449.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 185449.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.1855939-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 185506.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 185506.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.1871034-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 185533.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 185533.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.1881155-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 185606.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 185606.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.1901157-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 185629.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 185629.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.1921154-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 185651.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 185651.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.1931155-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 185708.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 185708.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.1951223-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 185727.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 185727.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.1961221-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 190146.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 190146.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.1989154-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 190244.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 190244.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
