"destination_path","original_source_path"
"C:\Users\riley\Drive-Staging\Axiom\03_Leads\omniscient_v4_leads_2026-03-18.csv","C:\Users\riley\Downloads\omniscient_v4_leads_2026-03-18.csv"
"C:\Users\riley\Drive-Staging\Axiom\06_Operations\Omniscient Setup Guide.pdf","C:\Users\riley\Downloads\Omniscient Setup Guide.pdf"
"C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A1","C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A1"
"C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A2","C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A2"
"C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A3","C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A3"
"C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_Assignment_2_INC","C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_Assignment 2_INC"
"C:\Users\riley\Drive-Staging\School\05_Projects\PLC_Project_2\PLC Project 2 Simplified.pdf","C:\Users\riley\OneDrive - Conestoga College\PLC Project 2 Simplified.pdf"
"C:\Users\riley\Drive-Staging\Archive\05_Duplicate_Review\PLC Project 2 Simplified.pdf","C:\Users\riley\Downloads\PLC Project 2 Simplified.pdf"
"C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Engineering Drawing","C:\Users\riley\Desktop\School\Engineering Drawing"
"C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Assignment 5 Drawing Files","C:\Users\riley\Desktop\School\Assignment 5 Drawing Files"
"C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Assignment 1 Drawing 1.dwg","C:\Users\riley\Documents\Assignment 1 Drawing 1.dwg"
"C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Assignment 2 New Drawing.dwg","C:\Users\riley\Documents\Assignment 2 New Drawing.dwg"
"C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Co-op Resume.pdf","C:\Users\riley\Desktop\Co-op Resume.pdf"
"C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Applications\Riley_Jamesway_Cover_Letter.pdf","C:\Users\riley\Downloads\Riley_Jamesway_Cover_Letter.pdf"
"C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Applications\Eclipse_Coop_Cover_Letter.pdf","C:\Users\riley\Downloads\Eclipse_Coop_Cover_Letter.pdf"
"C:\Users\riley\Drive-Staging\Personal\03_Photos_Exports\iPhone CAmera","C:\Users\riley\Pictures\iPhone CAmera"
"C:\Users\riley\Drive-Staging\Personal\04_Videos_Exports\Videos","C:\Users\riley\Videos"
"C:\Users\riley\Drive-Staging\Personal\06_Creative\My project","C:\Users\riley\My project"
